Model,$\gamma_s$,$T$,$\tau$,$\Delta$,AUROC,Balanced Accuracy,F1,Precision,Recall
ir-CSN\_152,224,32,12,2.67,0.8565749077576857,0.5944782495498657,0.14013740420341492,0.17686404287815094,0.19401074945926666
ir-CSN\_152_hp_opt,224,48,10,4.80,0.8445072723010552,0.6817655563354492,0.15113243460655212,0.1162605956196785,0.38554662466049194
ir-CSN\_152_hp_opt_a28,224,48,10,4.80,0.8541510501356191,0.7054579257965088,0.1509026139974594,0.11778231710195541,0.4384841322898865
ir-CSN\_152_hp_opt_a25_verified_ls Theta=300,224,48,10,4.80,0.8739915561769211,0.7454800605773926,0.17172189056873322,0.12066460400819778,0.52410489320755
ir-CSN\_152_hp_opt_a25_2xverified_ls Theta=400 seg_stride=3,,,,,,,,,
